TDOI,ATC/LTK,English,Finnish,"Upper LTK group","LTK group name"
00001,P02CX01,pyrvinium,Pyrviini,P1BA,Sukkulamatolääkkeet
00002,A2BH,N/A,GLP-1-analogit,A2B,Muut diabeteslääkkeet kuin insuliinit
00003,J01CE01,benzylpenicillin,Bentsyylipenisilliini,J1ABB,Beetalaktamaasiherkät penisilliinit
00004,V6B,N/A,Terapeuttiset radioaktiiviset lääkevalmisteet,V6,Radioaktiiviset lääkevalmisteet
00005,404,,,,
00006,N2DD,N/A,Muut masennuslääkkeet,N2D,Masennuslääkkeet
00007,J2,N/A,"Immunoseerumit, immunoglobuliinit, rokotteet",N/A JSON API,N/A JSON API
00008,N05BE01,buspirone,Buspironi,N2B,Rauhoittavat lääkkeet
00009,R1F,N/A,Muut hengitysteiden sairauksien lääkkeet,R1,"Hengitysteiden lääkkeet  (astma/COPD, antihistamiinit, yskänlääkkeet)"
00010,S1EA,N/A,Antikolinergit,S1E,Mydriaasin ja sykloplegian aiheuttavat lääkkeet
00011,404,,,,
00012,G03HB01,cyproterone and estrogen,Syproteroni ja etinyyliestradioli,G2AH,Antiandrogeenit
00013,A3AD,N/A,A-vitamiinit,A3A,Vitamiinit
00014,A01AA03,olaflur,Olafluuri,A1GA,Karieksen esto
00015,S1DB,N/A,Parasympatomimeetit,S1D,Glaukoomalääkkeet
00016,L1BB,N/A,Hormoniantagonistit,L1B,Endokrinologiset lääkkeet
00017,C07FB03,atenolol and nifedipine,Atenololi ja nifedipiini,C1EB,Beetasalpaaja ja muu verenpainelääke
00018,404,,,,
00019,D1B,N/A,Sienilääkkeet,D1,Ihotautien lääkkeet
00020,N01AX01,ATCDDD N/A,Try again,,
00021,J07BG01,"rabies, inactivated, whole virus","Vesikauhurokote, inaktivoitu (koko virus)",J2BBF,Vesikauhu
00022,C05AX03,"other preparations, combinations",Muut yhdistelmävalmisteet,C1R,Peräpukamien ja peräaukon haavaumien hoito
00023,A1BA,N/A,Antikolinergit,A1B,Suoliston toiminnallisten häiriöiden lääkkeet
00024,H01CC02,cetrorelix,Setroreliksi,H1ACB,Gonadotropiinin vapautumisen estäjät
00025,B05XA14,sodium glycerophosphate,Natriumglyserofosfaatti,B2DA,Elektrolyyttiliuokset ja aminohapot
00026,L01XA03,oxaliplatin,Oksaliplatiini,L1AEA,Platinayhdisteet
00027,G03AB05,desogestrel and ethinylestradiol,Desogestreeli ja etinyyliestradioli,G2AAB,Progestageenin  ja estrogeenin sekventiaalivalmisteet
00028,C1K,N/A,AT-reseptorin salpaajien yhdistelmävalmisteet,C1U,Verenpainelääkkeet
00029,S01AD03,aciclovir,Asikloviiri,S1B,Viruslääkkeet
00030,A1K,N/A,"Sapen eritys, sappihapot",A1,Ruoansulatuskanavan lääkkeet
00031,G03CA03,estradiol,Estradioli,G2AD,Estrogeenit ja estrogeenireseptorin muuntelijat
00032,V10A,ANTIINFLAMMATORY AGENTS,Tulehdusta lievittävät valmisteet,V6B,Terapeuttiset radioaktiiviset lääkevalmisteet
00033,404,,,,
00034,404,,,,
00035,A09AA02,"multienzymes (lipase, protease etc.)","Useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet",A1H,Ruoansulatusentsyymit ja happovalmisteet
00036,D04AB01,lidocaine,Lidokaiini,D1K,Iholle käytettävät paikallispuudutteet
00037,L01AA01,cyclophosphamide,Syklofosfamidi,L1AA,Alkyloivat aineet
00038,C09CA06,candesartan,Kandesartaani,C1J,AT-reseptorin salpaajat
00039,R03BB01,ipratropium bromide,Ipratropiumbromidi,R1HA,Lyhytvaikutteiset antikolinergit (SAMA)
00040,N2EA,N/A,Hydantoiinijohdokset,N2E,Epilepsialääkkeet
00041,C01BB01,lidocaine,Lidokaiini,C1BB,Ryhmä 1B
00042,C1AA,N/A,Digitalisglykosidit,C1A,"Sydänlääkkeet (mm. digitalis, inotroopit, nitraatit)"
00043,B03XA01,erythropoietin,Epoetiini,B1CC,Muut anemialääkkeet
00044,S01HA02,oxybuprocaine,Oksibuprokaiini,S1G,Paikallispuudutteet
00045,A03DA02,pitofenone and analgesics,Pitofenoni ja analgeetti,A1BB,Antikolinergiyhdistelmät
00046,V08BA01,barium sulfate with suspending agents,Bariumsulfaattivalmisteet,V5B,Jodittomat varjoaineet
00047,C10AD52,"nicotinic acid, combinations","Nikotiinihappo, yhdistelmävalmisteet",C1PD,"Nikotiinihappo, sen johdokset ja yhdistelmävalmisteet"
00048,N2CA,N/A,Bentsodiatsepiinit,N2C,Unilääkkeet
00049,R03BC01,cromoglicic acid,Dinatriumkromoglikaatti,R1AG,Kromonit
00050,N03AF02,oxcarbazepine,Okskarbatsepiini,N2EC,Karboksamidijohdokset
00051,C09AA01,captopril,Kaptopriili,C1G,ACE:n estäjät
00052,404,,,,
00053,H02AB04,methylprednisolone,Metyyliprednisoloni,H1CB,"Glukokortikoidit, myös yhdistelmävalmisteet"
00054,D07BA04,hydrocortisone and antiseptics,Hydrokortisoni ja antiseptit,D1AEA,Mietojen kortikosteroidien yhdistelmät
00055,C01EB16,ibuprofen,Ibuprofeeni,C1AD,Muut sydänlääkkeet
00056,J07BC01,"hepatitis B, purified antigen","Hepatiitti B, puhdistettu antigeeni",J2BBC,Hepatiitti
00057,M01CC01,penicillamine,Penisillamiini,V2G,Muut myrkytysten hoidossa käytettävät lääkkeet.
00058,P1BB,N/A,Laakamatolääkkeet,P1B,Matolääkkeet
00059,M2A,N/A,Bisfosfonaatit,M2,Luukudokseen vaikuttavat lääkkeet
00060,B1AC,N/A,Fibrinolyyttiset lääkeaineet,B1,Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet
00061,N2F,N/A,Parkinsonismilääkkeet,N2,"Keskushermoston lääkkeet (mm. psyyken, epilepsian, Parkinsonin ja Alzheimerin taudin lääkkeet)"
00062,B05BB01,electrolytes,Elektrolyytit,B2BE,Elektrolyyttiliuokset
00063,M3,N/A,Lihasrelaksantit,N/A JSON API,N/A JSON API
00064,M05BA06,ibandronic acid,Ibandronihappo,M2A,Bisfosfonaatit
00065,B1ABA,N/A,Pienimolekyyliset hepariinit (LMWH),B1AFA,Hepariinit
00066,D09AA02,fusidic acid,Fusidiinihappo,D1J,Lääkesiteet
00067,N02BA51,"acetylsalicylic acid, combinations excl. psycholeptics","Asetyylisalisyylihappo, yhdistelmävalmisteet",M1A,Tulehduskipulääkkeet
00068,N05AE03,sertindole,Sertindoli,N2AB,Uudemmat (epätyypilliset) psykoosilääkkeet
00069,N05CD05,triazolam,Triatsolaami,N2CA,Bentsodiatsepiinit
00070,C10AA07,rosuvastatin,Rosuvastatiini,C1PA,Statiinit
00071,A3BD,N/A,Muut kivennäisaineet,A3B,Kivennäisaineet
00072,G2AH,N/A,Antiandrogeenit,G2A,Sukupuolihormonit ja sukuelimiin vaikuttavat aineet
00073,R05CB15,erdosteine,Erdosteiini,R1EB,Limaa irrottavat
00074,M03AC03,vecuronium,Vekuroni,M3AA,Anestesian yhteydessä käytettävät lihasrelaksantit
00075,N06BA09,atomoxetine,Atomoksetiini,N2H,ADHD-lääkkeet
00076,J2BA,N/A,Bakteerirokotteet,J2B,Rokotteet
00077,M1DAA,N/A,Salisyylihappojohdoksia sisältävät valmisteet,M1DA,Paikalliset tulehduskipulääkkeet
00078,J06BB02,tetanus immunoglobulin,Tetanusimmunoglobuliini,J2A,Immunoseerumit ja immunoglobuliinit
00079,C01EB19,ATCDDD N/A,Try again,,
00080,N2M,N/A,Muut hermostoon vaikuttavat lääkkeet,N2,"Keskushermoston lääkkeet (mm. psyyken, epilepsian, Parkinsonin ja Alzheimerin taudin lääkkeet)"
00081,H1FB,N/A,Lisäkilpirauhasen toimintaa estävät lääkkeet,H1F,Kalsiumtasapainoa säätelevät lääkkeet
00082,A01AC01,triamcinolone,Triamsinoloni,A1GC,"Suun paikallishoito, kortikosteroidit"
00083,B2BE,N/A,Elektrolyyttiliuokset,B2B,Parenteraaliset ravintovalmisteet
00084,C1HB,N/A,ACE:n estäjä ja kalsiumkanavan salpaaja,C1H,ACE:n estäjien yhdistelmävalmisteet
00085,L04AC05,ustekinumab,Ustekinumabi,D1E,Psoriaasilääkkeet
00086,B01AE07,dabigatran etexilate,Dabigatraanieteksilaatti,B1AD,Suorat trombiinin estäjät
00087,N06AA09,amitriptyline,Amitriptyliini,N3D,Neuropaattisen kivun lääkkeet
00088,A06AC51,"ispaghula, combinations","Ispaghula, yhdistelmävalmisteet",A1DB,Suolen sisältöä lisäävät ulostuslääkkeet
00089,N02AF02,nalbuphine,Nalbufiini,N3BA,"Heikot opioidit, osittaiset agonistit"
00090,D11AH02,pimecrolimus,Pimekrolimuusi,D1HAA,Paikalliset kalsineuriinin estäjät
00091,B02BA01,phytomenadione,Fytomenadioni,V2A,Myrkytysten antidootit
